size,CSF,density,settling,particle_type,velocity_goral,velocity_yu,velocity_dietrich
7.663839191495618e-05,0.3024354874322547,1282.2984017920453,settling,fragment,0.000659209384253878,0.0006632176517353878,0.0005814036581508271
0.0001725938794797,0.2714078634570499,1200.3953443941573,settling,fragment,0.0022617975159953175,0.002237770845279946,0.0017574867307475867
0.000341447372871,0.6683771663235177,1072.8734796498902,settling,fragment,0.0030929346334868384,0.0037069056898985492,0.003149669072291029
6.064249314034252e-05,0.686095837354306,1082.335589710441,settling,fragment,0.00013068777631084332,0.000148254609542624,0.00014632435375145028
3.985333078138311e-05,0.637774541883028,958.1574105148636,rising,fragment,-2.6967383038161862e-05,-3.169775242298259e-05,-2.912006414257603e-05
9.318182207373256e-05,0.4877737209945095,1558.0439959822231,settling,fragment,0.0018836243656363656,0.002157772646899148,0.001989443780501736
2.736920409104999e-05,0.3900502360830368,2172.361028737289,settling,fragment,0.0003539443404460243,0.00037370477154310755,0.0003532505501111399
0.0001513357947461,0.1678010943156805,1036.6089227099294,settling,fiber,0.0011563167104288825,0.0002894458783229404,0.00014473452808425955
2.783930780003952e-05,0.5301644684944085,1120.351071856633,settling,fragment,3.7850533803311813e-05,4.247616605014388e-05,3.8699768519074656e-05
0.0009458920380356,0.0777020471271238,1100.5817258359286,settling,fiber,0.019328566695627002,0.01162076596642271,
2.0446718289648457e-05,0.1570568914365097,1262.4261533324704,settling,fiber,0.00047927509736988416,3.6835121381136894e-05,1.1530077591606671e-05
0.0001546899313736,0.01,1129.481492471028,settling,fiber,0.002923002621242981,0.0005214652002695819,
0.0003895927186996,0.5533586479158926,1409.9600989069086,settling,fragment,0.01725651263035645,0.01801200761873267,0.015449104555571441
0.00038056823173,0.4834265941422901,1252.9720099243095,settling,fragment,0.011150903742272464,0.011568644182252945,0.009790796789470708
2.0806866503109777e-05,0.6466777742857227,1238.0315339582194,settling,fragment,4.182956910899353e-05,4.927491938747693e-05,4.47097465800962e-05
3.361489223880513e-05,0.3826874243259194,2051.181117177345,settling,fragment,0.000477304173167841,0.0005037603208006289,0.00047663737202521974
3.8411353555750515e-05,0.1075924766098908,928.8730078170992,rising,fiber,-0.0003877571468150134,-3.2137643268410104e-05,
0.0005714095515139,0.6246935274166306,946.122273024751,rising,fragment,-0.005603003451329667,-0.006312463909988203,-0.005312913249602384
2.83943719017402e-05,0.4066855593767718,1144.981227965092,settling,fragment,4.741271661254567e-05,4.986973340757102e-05,4.417282950530676e-05
4.2798584065631775e-05,0.1916323962578187,1025.387492409414,settling,fiber,0.00021021208860556176,1.6400517910485046e-05,8.906299010407301e-06
5.343758375750139e-05,0.6437984778001282,1178.565005838526,settling,fragment,0.0002053762333690007,0.0002460417564780318,0.0002441801991745483
0.0003232221779646,0.3889404872953719,1503.6449164673468,settling,fragment,0.015525550565314173,0.01509313950713292,0.012665265679446423
2.2657977097590985e-05,0.0886792812585551,1115.1397508361254,settling,fiber,0.0002992230248445625,1.716377692753796e-05,
0.0003567563185462,0.6255354215914068,1038.0652671255566,settling,fragment,0.001793509729582848,0.0021727601156119607,0.0018832309959839943
8.877046453562877e-05,0.5811179142486909,1156.6228380346165,settling,fragment,0.0004915614141229327,0.0005814264755788501,0.0005696073917703577
4.369221402408235e-05,0.3217353441612676,1152.508387886163,settling,fragment,0.00011766849235547835,0.00011780370150801636,0.00010352779748239224
4.365618719232897e-05,0.6444521648914767,1059.1349497202712,settling,fragment,4.567745289919089e-05,5.404091000553526e-05,5.123599139794783e-05
0.0007830718485322,0.4040718221660863,992.4395203696788,rising,fragment,-0.0016371339205371437,-0.0017406591896864199,-0.0014502838903207255
3.639643782078365e-05,0.065335120724072,987.5733096525948,rising,fiber,-0.00010486169011023763,-4.41232182365905e-06,
4.499228159472491e-05,0.1421961628628161,1300.838258987538,settling,fiber,0.0013013843445808318,0.00020145109913533284,
3.112922859040214e-05,0.0696239821211428,1114.6482699878684,settling,fiber,0.00042886637326689496,3.0494276843040635e-05,
0.0011367331933517,0.2952146800601483,1139.3384416148265,settling,fragment,0.028467284732967973,0.02542825447514755,0.021135946291409285
0.0024271444816091,0.489493182595039,897.6890987077908,rising,fragment,-0.0450494006605248,-0.05260102795954219,-0.04170535691655754
